PLANT,ID,TREAT,TREAT 2,REP,Time,Remaining,Emigrating
1,#1,Agro,Agro,1,10,15,15
2,#2,Agro,Agro,2,10,19,11
3,#3,Agro,Agro,3,10,20,10
4,#5,Agro,Agro,4,10,19,11
5,#6,Agro,Agro,5,10,21,9
6,#4,Agro,Agro,6,10,18,12
7,#9,Agro,Agro,7,10,16,14
8,#13,Agro,Agro,8,10,20,10
9,#12,Agro,Agro,9,10,20,10
10,#11,Agro,Agro,10,10,22,8
11,#8,Agro,Agro,11,10,23,7
12,#14,Agro,Agro,12,10,20,10
13,#10,Agro,Agro,13,10,16,14
14,#26,Agro,Agro,1,10,20,10
15,#27,Agro,Agro,2,10,18,12
16,#28,Agro,Agro,3,10,20,10
17,#49,control,control,1,10,20,10
18,#50,control,control,2,10,21,9
19,#51,control,control,3,10,21,9
20,#52,control,control,4,10,20,10
21,#53,control,control,5,10,21,9
22,#47,control,control,1,10,22,8
23,#48,control,control,2,10,25,5
24,#49,control,control,3,10,18,12
25,#50,control,control,4,10,23,7
26,#51,control,control,5,10,20,10
27,#52,control,control,6,10,24,6
28,#53,control,control,7,10,19,11
29,#36,_3648,_3648,1,10,25,5
30,#37,_3648,_3648,2,10,19,11
31,#38,_3648,_3648,3,10,23,7
32,#42,_3648,_3648,1,10,24,6
33,#39,_3648,_3648,2,10,22,8
34,#41,_3648,_3648,3,10,18,12
35,#40,_3648,_3648,4,10,21,9
36,#37,_3648,_3648,5,10,22,8
37,#38,_3648,_3648,6,10,25,5
38,#30,_3648,_3648,1,10,22,8
39,#25,_3648,_3648,2,10,19,11
40,#28,_3648,_3648,3,10,22,8
41,#26,_3648,_3648,4,10,22,8
42,#42,_3705,_3705,1,10,22,8
43,#41,_3705,_3705,2,10,21,9
44,#43,_3705,_3705,3,10,22,8
45,#33,_3705,_3705,1,10,25,5
46,#32,_3705,_3705,2,10,23,7
47,#36,_3705,_3705,3,10,18,12
48,#34,_3705,_3705,4,10,22,8
49,#35,_3705,_3705,5,10,24,6
50,#31,_3705,_3705,6,10,24,6
51,#14,_3705,_3705,1,10,20,10
52,#18,_3705,_3705,2,10,19,11
53,#13,_3705,_3705,3,10,21,9
54,#16,_3705,_3705,4,10,23,7
55,#17,_3705,_3705,5,10,22,8
56,#15,_3705,_3705,6,10,16,14
57,#20,_3861,_3861,1,10,24,6
58,#18,_3861,_3861,2,10,18,12
59,#17,_3861,_3861,3,10,22,8
60,#25,_3861,_3861,1,10,25,5
61,#21,_3861,_3861,2,10,23,7
62,#22,_3861,_3861,3,10,22,8
63,#13,_3861,_3861,1,10,25,5
64,#18,_3861,_3861,2,10,25,5
65,#17,_3861,_3861,3,10,19,11
66,#14,_3861,_3861,4,10,18,12
67,#15,_3861,_3861,5,10,24,6
68,#16,_3861,_3861,6,10,26,4
69,#3,_3879,_3879,1,10,23,7
70,#5,_3879,_3879,2,10,17,13
71,#1,_3879,_3879,3,10,25,5
72,#4,_3879,_3879,4,10,21,9
73,#7,_3879,_3879,5,10,25,5
74,#14,_3879,_3879,1,10,22,8
75,#13,_3879,_3879,2,10,18,12
76,#12,_3879,_3879,3,10,20,10
77,#1,__4050,__4050,1,10,21,9
78,#2,__4050,__4050,2,10,19,11
79,#3,__4050,__4050,3,10,21,9
80,#1,__4050,__4050,1,10,24,6
81,#5,__4050,__4050,2,10,22,8
82,#4,__4050,__4050,3,10,19,11
83,#6,__4050,__4050,4,10,17,13
84,#2,__4050,__4050,5,10,22,8
85,#3,__4050,__4050,6,10,22,8
86,#7,__4050,__4050,1,10,19,11
87,#10,__4050,__4050,2,10,19,11
88,#8,__4050,__4050,3,10,16,14
89,#11,__4050,__4050,4,10,19,11
90,#9,__4050,__4050,5,10,18,12
91,#12,__4050,__4050,6,10,16,14
92,#31,_4077,_4077,1,10,20,10
93,#32,_4077,_4077,2,10,20,10
94,#34,_4077,_4077,3,10,19,11
95,#7,_4077,_4077,1,10,25,5
96,#8,_4077,_4077,2,10,24,6
97,#9,_4077,_4077,3,10,25,5
98,#10,_4077,_4077,4,10,20,10
99,#11,_4077,_4077,5,10,21,9
100,#12,_4077,_4077,6,10,23,7
101,#26,PLRVwild,mgfp,1,10,19,11
102,#28,PLRVwild,mgfp,2,10,26,4
103,#25,PLRVwild,mgfp,3,10,21,9
104,#27,PLRVwild,mgfp,4,10,22,8
105,#29,PLRVwild,mgfp,5,10,23,7
106,#30,PLRVwild,mgfp,6,10,24,6
107,M7,paper,paper,7,10,11,19
108,M8,paper,paper,8,10,20,10
109,M9,paper,paper,9,10,16,14
110,M10,paper,paper,10,10,18,12
111,M1,paper,paper,1,10,16,14
112,M2,paper,paper,2,10,14,16
113,M3,paper,paper,3,10,12,18
114,M4,paper,paper,4,10,14,16
115,M5,paper,paper,5,10,14,16
116,M6,paper,paper,6,10,12,18
117,M1,paper,paper,1,10,15,15
118,M2,paper,paper,2,10,20,10
119,M3,paper,paper,3,10,18,12
120,M4,paper,paper,4,10,12,18
121,M5,paper,paper,5,10,8,22
122,M6,paper,paper,6,10,8,22
123,M7,paper,paper,7,10,16,14
124,M1,paper,paper,1,10,12,18
125,M2,paper,paper,2,10,10,20
126,M3,paper,paper,3,10,9,21
127,M4,paper,paper,4,10,11,19
128,M5,paper,paper,5,10,9,21
129,M6,paper,paper,6,10,6,24
130,#17,PLRVwild,pBNUP,1,10,18,12
131,#16,PLRVwild,pBNUP,2,10,16,14
132,#18,PLRVwild,pBNUP,3,10,19,11
133,##,PLRVwild,PLRVwild,1,10,17,13
134,#24,PLRVwild,PLRVwild,2,10,20,10
135,#22,PLRVwild,PLRVwild,3,10,18,12
136,#20,PLRVwild,PLRVwild,4,10,24,6
137,#21,PLRVwild,PLRVwild,5,10,12,18
138,#6,PLRVwild,PLRVwild,1,10,24,6
139,#9,PLRVwild,PLRVwild,2,10,19,11
140,#7,PLRVwild,PLRVwild,3,10,20,10
141,#19,PLRVwild,PLRVwild,1,10,18,12
142,#20,PLRVwild,PLRVwild,2,10,20,10
143,#24,PLRVwild,PLRVwild,3,10,16,14
144,#23,PLRVwild,PLRVwild,4,10,20,10
145,#22,PLRVwild,PLRVwild,5,10,22,8
146,#21,PLRVwild,PLRVwild,6,10,23,7
1,#1,Agro,Agro,1,20,13,17
2,#2,Agro,Agro,2,20,13,17
3,#3,Agro,Agro,3,20,15,15
4,#5,Agro,Agro,4,20,18,12
5,#6,Agro,Agro,5,20,16,14
6,#4,Agro,Agro,6,20,13,17
7,#9,Agro,Agro,7,20,16,14
8,#13,Agro,Agro,8,20,16,14
9,#12,Agro,Agro,9,20,16,14
10,#11,Agro,Agro,10,20,20,10
11,#8,Agro,Agro,11,20,22,8
12,#14,Agro,Agro,12,20,19,11
13,#10,Agro,Agro,13,20,11,19
14,#26,Agro,Agro,1,20,18,12
15,#27,Agro,Agro,2,20,12,18
16,#28,Agro,Agro,3,20,17,13
17,#49,control,control,1,20,18,12
18,#50,control,control,2,20,19,11
19,#51,control,control,3,20,20,10
20,#52,control,control,4,20,19,11
21,#53,control,control,5,20,17,13
22,#47,control,control,1,20,18,12
23,#48,control,control,2,20,23,7
24,#49,control,control,3,20,12,18
25,#50,control,control,4,20,21,9
26,#51,control,control,5,20,17,13
27,#52,control,control,6,20,19,11
28,#53,control,control,7,20,18,12
29,#36,_3648,_3648,1,20,20,10
30,#37,_3648,_3648,2,20,18,12
31,#38,_3648,_3648,3,20,19,11
32,#42,_3648,_3648,1,20,19,11
33,#39,_3648,_3648,2,20,20,10
34,#41,_3648,_3648,3,20,16,14
35,#40,_3648,_3648,4,20,16,14
36,#37,_3648,_3648,5,20,21,9
37,#38,_3648,_3648,6,20,21,9
38,#30,_3648,_3648,1,20,19,11
39,#25,_3648,_3648,2,20,17,13
40,#28,_3648,_3648,3,20,21,9
41,#26,_3648,_3648,4,20,20,10
42,#42,_3705,_3705,1,20,21,9
43,#41,_3705,_3705,2,20,17,13
44,#43,_3705,_3705,3,20,19,11
45,#33,_3705,_3705,1,20,22,8
46,#32,_3705,_3705,2,20,22,8
47,#36,_3705,_3705,3,20,14,16
48,#34,_3705,_3705,4,20,18,12
49,#35,_3705,_3705,5,20,21,9
50,#31,_3705,_3705,6,20,21,9
51,#14,_3705,_3705,1,20,18,12
52,#18,_3705,_3705,2,20,17,13
53,#13,_3705,_3705,3,20,12,18
54,#16,_3705,_3705,4,20,19,11
55,#17,_3705,_3705,5,20,21,9
56,#15,_3705,_3705,6,20,11,19
57,#20,_3861,_3861,1,20,23,7
58,#18,_3861,_3861,2,20,16,14
59,#17,_3861,_3861,3,20,20,10
60,#25,_3861,_3861,1,20,22,8
61,#21,_3861,_3861,2,20,21,9
62,#22,_3861,_3861,3,20,19,11
63,#13,_3861,_3861,1,20,22,8
64,#18,_3861,_3861,2,20,22,8
65,#17,_3861,_3861,3,20,18,12
66,#14,_3861,_3861,4,20,14,16
67,#15,_3861,_3861,5,20,23,7
68,#16,_3861,_3861,6,20,24,6
69,#3,_3879,_3879,1,20,22,8
70,#5,_3879,_3879,2,20,14,16
71,#1,_3879,_3879,3,20,24,6
72,#4,_3879,_3879,4,20,19,11
73,#7,_3879,_3879,5,20,21,9
74,#14,_3879,_3879,1,20,20,10
75,#13,_3879,_3879,2,20,14,16
76,#12,_3879,_3879,3,20,16,14
77,#1,__4050,__4050,1,20,19,11
78,#2,__4050,__4050,2,20,15,15
79,#3,__4050,__4050,3,20,18,12
80,#1,__4050,__4050,1,20,21,9
81,#5,__4050,__4050,2,20,21,9
82,#4,__4050,__4050,3,20,19,11
83,#6,__4050,__4050,4,20,15,15
84,#2,__4050,__4050,5,20,20,10
85,#3,__4050,__4050,6,20,19,11
86,#7,__4050,__4050,1,20,16,14
87,#10,__4050,__4050,2,20,16,14
88,#8,__4050,__4050,3,20,9,21
89,#11,__4050,__4050,4,20,14,16
90,#9,__4050,__4050,5,20,16,14
91,#12,__4050,__4050,6,20,14,16
92,#31,_4077,_4077,1,20,16,14
93,#32,_4077,_4077,2,20,18,12
